Time,TB3m,Eudollar
04-Jan-1971,4.89,6.5
05-Jan-1971,4.89,6.38
06-Jan-1971,4.84,6.38
07-Jan-1971,4.81,6.25
08-Jan-1971,4.75,6.13
11-Jan-1971,4.66,6.19
12-Jan-1971,4.63,6.06
13-Jan-1971,4.56,6.06
14-Jan-1971,4.38,6.06
15-Jan-1971,4.32,6
18-Jan-1971,4.26,5.94
19-Jan-1971,4.25,5.63
20-Jan-1971,4.18,5.44
21-Jan-1971,4.12,5.5
22-Jan-1971,4.18,5.63
25-Jan-1971,4.18,5.63
26-Jan-1971,4.25,5.56
27-Jan-1971,4.22,5.63
28-Jan-1971,4.18,5.63
29-Jan-1971,4.15,5.81
01-Feb-1971,4.12,5.81
02-Feb-1971,4.1,5.94
03-Feb-1971,4.09,5.88
04-Feb-1971,4.03,5.88
05-Feb-1971,3.96,5.88
08-Feb-1971,3.82,5.88
09-Feb-1971,3.64,5.59
10-Feb-1971,3.7,5.56
11-Feb-1971,3.64,5.5
12-Feb-1971,3.64,5.5
15-Feb-1971,3.64,5.5
16-Feb-1971,3.63,5.25
17-Feb-1971,3.6,5.44
18-Feb-1971,3.52,5.5
19-Feb-1971,3.49,5.44
22-Feb-1971,3.48,5.19
23-Feb-1971,3.48,5.13
24-Feb-1971,3.41,5.19
25-Feb-1971,3.4,5.19
26-Feb-1971,3.4,5.44
01-Mar-1971,3.36,5.25
02-Mar-1971,3.36,5.19
03-Mar-1971,3.34,5
04-Mar-1971,3.34,5.06
05-Mar-1971,3.33,5
08-Mar-1971,3.32,5
09-Mar-1971,3.32,5.06
10-Mar-1971,3.3,5.06
11-Mar-1971,3.22,5.19
12-Mar-1971,3.24,5.06
15-Mar-1971,3.3,5.06
16-Mar-1971,3.34,5.06
17-Mar-1971,3.52,4.94
18-Mar-1971,3.45,5.06
19-Mar-1971,3.35,5.06
22-Mar-1971,3.3,5
23-Mar-1971,3.36,5.06
24-Mar-1971,3.39,5
25-Mar-1971,3.39,5.25
26-Mar-1971,3.43,5.25
29-Mar-1971,3.48,5.25
30-Mar-1971,3.6,5.31
31-Mar-1971,3.64,5.31
01-Apr-1971,3.65,5.38
02-Apr-1971,3.67,5.56
05-Apr-1971,3.69,5.81
06-Apr-1971,3.73,5.63
07-Apr-1971,3.82,5.81
08-Apr-1971,3.9,5.88
09-Apr-1971,3.9,5.88
12-Apr-1971,4.03,5.88
13-Apr-1971,4.04,6.06
14-Apr-1971,4,6.31
15-Apr-1971,3.9,6.06
16-Apr-1971,3.82,5.94
19-Apr-1971,3.8,5.75
20-Apr-1971,3.82,5.69
21-Apr-1971,3.86,5.75
22-Apr-1971,3.79,5.88
23-Apr-1971,3.8,6
26-Apr-1971,3.82,6
27-Apr-1971,3.96,6.19
28-Apr-1971,4.04,6.06
29-Apr-1971,4.02,6.25
30-Apr-1971,3.93,6.31
03-May-1971,3.84,6.31
04-May-1971,3.88,6.38
05-May-1971,3.92,6.81
06-May-1971,3.82,7.63
07-May-1971,3.78,7.38
10-May-1971,3.83,7.25
11-May-1971,3.86,7.5
12-May-1971,3.94,7.06
13-May-1971,4.06,7.19
14-May-1971,4.12,6.94
17-May-1971,4.3,6.94
18-May-1971,4.43,7.13
19-May-1971,4.38,7.06
20-May-1971,4.37,7
21-May-1971,4.38,6.81
24-May-1971,4.41,6.63
25-May-1971,4.45,6.81
26-May-1971,4.4,7.06
27-May-1971,4.35,7.38
28-May-1971,4.34,7.5
31-May-1971,4.34,7.5
01-Jun-1971,4.36,8
02-Jun-1971,4.26,7.94
03-Jun-1971,4.24,7.56
04-Jun-1971,4.32,7.31
07-Jun-1971,4.44,7.06
08-Jun-1971,4.56,7.38
09-Jun-1971,4.6,7.25
10-Jun-1971,4.62,7.25
11-Jun-1971,4.71,7.13
14-Jun-1971,4.93,7.13
15-Jun-1971,5.02,7.25
16-Jun-1971,4.97,7.06
17-Jun-1971,4.9,7.13
18-Jun-1971,4.93,7.06
21-Jun-1971,4.89,6.88
22-Jun-1971,4.96,7.06
23-Jun-1971,4.82,6.81
24-Jun-1971,4.8,6.81
25-Jun-1971,4.88,6.81
28-Jun-1971,4.96,6.88
29-Jun-1971,5.19,7
30-Jun-1971,5.22,6.5
01-Jul-1971,5.21,6.69
02-Jul-1971,5.36,6.5
05-Jul-1971,5.36,6.5
06-Jul-1971,5.48,6.69
07-Jul-1971,5.42,6.63
08-Jul-1971,5.41,6.56
09-Jul-1971,5.36,6.38
12-Jul-1971,5.32,6.31
13-Jul-1971,5.33,6.44
14-Jul-1971,5.35,6.38
15-Jul-1971,5.39,6.31
16-Jul-1971,5.5,6.25
19-Jul-1971,5.53,6.31
20-Jul-1971,5.5,6.44
21-Jul-1971,5.44,6
22-Jul-1971,5.34,6.38
23-Jul-1971,5.47,6.38
26-Jul-1971,5.46,6.38
27-Jul-1971,5.46,6.56
28-Jul-1971,5.43,6.56
29-Jul-1971,5.34,6.63
30-Jul-1971,5.31,6.69
02-Aug-1971,5.24,6.75
03-Aug-1971,5.32,7.06
04-Aug-1971,5.33,7.06
05-Aug-1971,5.3,7.19
06-Aug-1971,5.28,7.25
09-Aug-1971,5.32,7.56
10-Aug-1971,5.37,7.88
11-Aug-1971,5.22,7.75
12-Aug-1971,5.21,7.88
13-Aug-1971,5.15,8.38
16-Aug-1971,4.83,9
17-Aug-1971,4.77,9
18-Aug-1971,4.78,9.25
19-Aug-1971,4.54,8.63
20-Aug-1971,4.65,8.63
23-Aug-1971,4.75,8.63
24-Aug-1971,4.6,8.44
25-Aug-1971,4.73,8.5
26-Aug-1971,4.68,8.5
27-Aug-1971,4.63,8.88
30-Aug-1971,4.44,8.88
31-Aug-1971,4.44,9
01-Sep-1971,4.5,9.5
02-Sep-1971,4.53,9.13
03-Sep-1971,4.54,9
06-Sep-1971,4.54,9
07-Sep-1971,4.58,8.44
08-Sep-1971,4.6,8.44
09-Sep-1971,4.65,8.25
10-Sep-1971,4.68,8.13
13-Sep-1971,4.76,7.56
14-Sep-1971,4.87,8
15-Sep-1971,4.85,8.5
16-Sep-1971,4.82,8.38
17-Sep-1971,4.72,8.19
20-Sep-1971,4.72,8
21-Sep-1971,4.78,8.31
22-Sep-1971,4.77,8.19
23-Sep-1971,4.75,8.06
24-Sep-1971,4.73,8.5
27-Sep-1971,4.72,8.56
28-Sep-1971,4.67,8.25
29-Sep-1971,4.67,7.69
30-Sep-1971,4.6,7.69
01-Oct-1971,4.55,7.38
04-Oct-1971,4.46,7.31
05-Oct-1971,4.57,7.19
06-Oct-1971,4.54,6.94
07-Oct-1971,4.56,7.13
08-Oct-1971,4.53,6.81
11-Oct-1971,4.53,6.81
12-Oct-1971,4.46,6.63
13-Oct-1971,4.44,6.63
14-Oct-1971,4.43,6.75
15-Oct-1971,4.44,6.5
18-Oct-1971,4.45,6.5
19-Oct-1971,4.5,6.63
20-Oct-1971,4.46,6.38
21-Oct-1971,4.48,6.31
22-Oct-1971,4.46,6.19
25-Oct-1971,4.46,6.19
26-Oct-1971,4.38,6.06
27-Oct-1971,4.37,6.06
28-Oct-1971,4.36,6
29-Oct-1971,4.31,6
01-Nov-1971,4.26,5.94
02-Nov-1971,4.26,5.94
03-Nov-1971,4.16,5.94
04-Nov-1971,4.14,6.13
05-Nov-1971,4.15,6.13
08-Nov-1971,4.18,5.94
09-Nov-1971,4.17,5.94
10-Nov-1971,4.19,5.81
11-Nov-1971,4.18,5.88
12-Nov-1971,4.17,5.88
15-Nov-1971,4.16,6
16-Nov-1971,4.1,6.31
17-Nov-1971,4.14,6.19
18-Nov-1971,4.14,6.38
19-Nov-1971,4.17,6.75
22-Nov-1971,4.24,6.75
23-Nov-1971,4.32,6.69
24-Nov-1971,4.4,6.81
25-Nov-1971,4.4,6.81
26-Nov-1971,4.4,7
29-Nov-1971,4.34,6.75
30-Nov-1971,4.34,6.5
01-Dec-1971,4.31,6.38
02-Dec-1971,4.28,6.5
03-Dec-1971,4.15,6.56
06-Dec-1971,4.1,6.56
07-Dec-1971,4.13,6.69
08-Dec-1971,4.1,6.69
09-Dec-1971,4.11,6.5
10-Dec-1971,4.09,6.5
13-Dec-1971,3.96,6.44
14-Dec-1971,4.06,6.44
15-Dec-1971,4.12,6.44
16-Dec-1971,4.06,6.5
17-Dec-1971,4,6.06
20-Dec-1971,4.12,6.13
21-Dec-1971,4.08,6.11
22-Dec-1971,4.04,6.11
23-Dec-1971,3.83,6.11
24-Dec-1971,3.83,6.25
27-Dec-1971,3.78,6.25
28-Dec-1971,3.75,6.25
29-Dec-1971,3.76,6.44
30-Dec-1971,3.7,10
31-Dec-1971,3.68,10.25
03-Jan-1972,3.69,5.5
04-Jan-1972,3.72,5.68
05-Jan-1972,3.69,5.63
06-Jan-1972,3.55,5.56
07-Jan-1972,3.33,5.63
10-Jan-1972,3.02,5.63
11-Jan-1972,3.22,5.56
12-Jan-1972,3.23,5.44
13-Jan-1972,3.2,5.56
14-Jan-1972,3.19,5.69
17-Jan-1972,3.24,5.5
18-Jan-1972,3.26,5.38
19-Jan-1972,3.3,5.38
20-Jan-1972,3.35,5.31
21-Jan-1972,3.43,5.31
24-Jan-1972,3.52,5.13
25-Jan-1972,3.52,4.94
26-Jan-1972,3.46,4.88
27-Jan-1972,3.44,4.88
28-Jan-1972,3.36,5.13
31-Jan-1972,3.35,5
01-Feb-1972,3.43,5
02-Feb-1972,3.4,4.88
03-Feb-1972,3.37,5.25
04-Feb-1972,3.24,5.19
07-Feb-1972,3.1,5
08-Feb-1972,3.19,5
09-Feb-1972,3.16,5
10-Feb-1972,3.06,5.06
11-Feb-1972,2.99,5.06
14-Feb-1972,3,5.06
15-Feb-1972,3.06,5.06
16-Feb-1972,3.06,4.94
17-Feb-1972,3.04,5.06
18-Feb-1972,3.1,5
21-Feb-1972,3.1,5
22-Feb-1972,3.17,5
23-Feb-1972,3.18,5
24-Feb-1972,3.2,5
25-Feb-1972,3.36,5
28-Feb-1972,3.37,5
29-Feb-1972,3.46,4.94
01-Mar-1972,3.47,4.81
02-Mar-1972,3.48,4.75
03-Mar-1972,3.49,4.69
06-Mar-1972,3.5,4.69
07-Mar-1972,3.56,4.63
08-Mar-1972,3.56,4.63
09-Mar-1972,3.59,5.06
10-Mar-1972,3.64,5.63
13-Mar-1972,3.75,5.25
14-Mar-1972,3.89,5.13
15-Mar-1972,3.94,5.5
16-Mar-1972,3.9,5.31
17-Mar-1972,3.88,5.38
20-Mar-1972,3.87,5.44
21-Mar-1972,3.87,5.5
22-Mar-1972,3.77,5.5
23-Mar-1972,3.78,5.56
24-Mar-1972,3.8,5.69
27-Mar-1972,3.77,5.94
28-Mar-1972,3.84,5.69
29-Mar-1972,3.87,5.56
30-Mar-1972,3.83,5.56
31-Mar-1972,3.83,5.56
03-Apr-1972,3.79,5.56
04-Apr-1972,3.84,5.38
05-Apr-1972,3.82,5.5
06-Apr-1972,3.8,5.5
07-Apr-1972,3.8,5.56
10-Apr-1972,3.75,5.56
11-Apr-1972,3.82,5.38
12-Apr-1972,3.82,5.5
13-Apr-1972,3.86,5.5
14-Apr-1972,3.84,5.56
17-Apr-1972,3.85,5.31
18-Apr-1972,3.68,5.31
19-Apr-1972,3.64,4.25
20-Apr-1972,3.57,5.25
21-Apr-1972,3.47,5.19
24-Apr-1972,3.46,5.06
25-Apr-1972,3.55,4.94
26-Apr-1972,3.58,5
27-Apr-1972,3.54,5.13
28-Apr-1972,3.63,5
01-May-1972,3.62,4.94
02-May-1972,3.65,5.06
03-May-1972,3.6,4.94
04-May-1972,3.54,5
05-May-1972,3.42,4.94
08-May-1972,3.44,4.88
09-May-1972,3.65,4.94
10-May-1972,3.62,4.88
11-May-1972,3.62,4.94
12-May-1972,3.6,4.94
15-May-1972,3.65,4.88
16-May-1972,3.76,4.94
17-May-1972,3.78,4.69
18-May-1972,3.79,4.75
19-May-1972,3.8,4.81
22-May-1972,3.79,4.75
23-May-1972,3.84,4.81
24-May-1972,3.84,4.75
25-May-1972,3.76,4.81
26-May-1972,3.75,4.81
29-May-1972,3.75,4.81
30-May-1972,3.8,4.75
31-May-1972,3.81,4.62
01-Jun-1972,3.83,4.69
02-Jun-1972,3.86,4.69
05-Jun-1972,3.83,4.81
06-Jun-1972,3.89,4.88
07-Jun-1972,3.88,4.81
08-Jun-1972,3.86,4.75
09-Jun-1972,3.86,4.81
12-Jun-1972,3.82,4.75
13-Jun-1972,3.84,4.88
14-Jun-1972,3.86,4.75
15-Jun-1972,3.9,4.75
16-Jun-1972,3.95,4.88
19-Jun-1972,3.92,4.81
20-Jun-1972,3.95,4.81
21-Jun-1972,3.97,5.06
22-Jun-1972,4.02,5.44
23-Jun-1972,4,6
26-Jun-1972,3.98,5.94
27-Jun-1972,3.99,5.75
28-Jun-1972,3.87,5.63
29-Jun-1972,3.96,5.25
30-Jun-1972,4.06,5.25
03-Jul-1972,4.14,5.25
04-Jul-1972,4.14,5.25
05-Jul-1972,4.08,5.56
06-Jul-1972,4.02,5.56
07-Jul-1972,4.02,5.44
10-Jul-1972,4.04,5.44
11-Jul-1972,4.13,5.5
12-Jul-1972,4.07,5.31
13-Jul-1972,4.04,5.5
14-Jul-1972,3.95,5.69
17-Jul-1972,3.92,5.75
18-Jul-1972,3.97,5.94
19-Jul-1972,3.91,5.63
20-Jul-1972,3.91,5.56
21-Jul-1972,3.94,5.69
24-Jul-1972,3.97,5.69
25-Jul-1972,4.03,5.63
26-Jul-1972,3.96,5.44
27-Jul-1972,3.91,5.44
28-Jul-1972,3.85,5.69
31-Jul-1972,3.8,5.63
01-Aug-1972,3.79,5.63
02-Aug-1972,3.77,5.44
03-Aug-1972,3.79,5.56
04-Aug-1972,3.82,5.38
07-Aug-1972,3.85,5.38
08-Aug-1972,3.88,5.31
09-Aug-1972,3.86,5.25
10-Aug-1972,3.86,5.56
11-Aug-1972,3.84,5.44
14-Aug-1972,3.87,5.44
15-Aug-1972,3.93,5.56
16-Aug-1972,3.91,5.5
17-Aug-1972,3.88,5.5
18-Aug-1972,3.92,5.5
21-Aug-1972,3.97,5.56
22-Aug-1972,4.12,5.5
23-Aug-1972,4.18,5.44
24-Aug-1972,4.14,5.44
25-Aug-1972,4.23,5.44
28-Aug-1972,4.26,5.44
29-Aug-1972,4.45,5.5
30-Aug-1972,4.55,5.38
31-Aug-1972,4.55,5.38
01-Sep-1972,4.54,5.5
04-Sep-1972,4.54,5.5
05-Sep-1972,4.68,5.5
06-Sep-1972,4.71,5.56
07-Sep-1972,4.7,5.56
08-Sep-1972,4.73,5.56
11-Sep-1972,4.74,5.5
12-Sep-1972,4.72,5.43
13-Sep-1972,4.71,5.38
14-Sep-1972,4.7,5.38
15-Sep-1972,4.68,5.38
18-Sep-1972,4.65,5.31
19-Sep-1972,4.64,5.31
20-Sep-1972,4.63,5.31
21-Sep-1972,4.66,5.31
22-Sep-1972,4.7,5.13
25-Sep-1972,4.67,5.31
26-Sep-1972,4.63,5.38
27-Sep-1972,4.61,5.38
28-Sep-1972,4.56,5.94
29-Sep-1972,4.55,5.94
02-Oct-1972,4.51,5.88
03-Oct-1972,4.67,6.06
04-Oct-1972,4.69,5.88
05-Oct-1972,4.73,6.13
06-Oct-1972,4.71,6
09-Oct-1972,4.71,6
10-Oct-1972,4.74,6.13
11-Oct-1972,4.76,5.94
12-Oct-1972,4.81,6
13-Oct-1972,4.84,6
16-Oct-1972,4.8,6
17-Oct-1972,4.82,6
18-Oct-1972,4.79,5.88
19-Oct-1972,4.75,6.06
20-Oct-1972,4.74,6.06
23-Oct-1972,4.74,6.06
24-Oct-1972,4.74,6.06
25-Oct-1972,4.74,5.88
26-Oct-1972,4.72,5.94
27-Oct-1972,4.72,5.94
30-Oct-1972,4.74,5.94
31-Oct-1972,4.76,6
01-Nov-1972,4.75,5.81
02-Nov-1972,4.72,5.94
03-Nov-1972,4.71,5.88
06-Nov-1972,4.66,5.88
07-Nov-1972,4.66,5.5
08-Nov-1972,4.75,5.69
09-Nov-1972,4.72,5.81
10-Nov-1972,4.72,5.81
13-Nov-1972,4.74,5.81
14-Nov-1972,4.78,5.94
15-Nov-1972,4.74,5.69
16-Nov-1972,4.76,5.81
17-Nov-1972,4.76,5.75
20-Nov-1972,4.76,5.69
21-Nov-1972,4.82,5.63
22-Nov-1972,4.84,5.63
23-Nov-1972,4.84,5.63
24-Nov-1972,4.85,5.63
27-Nov-1972,4.88,5.63
28-Nov-1972,4.88,5.75
29-Nov-1972,4.87,5.81
30-Nov-1972,4.88,5.94
01-Dec-1972,4.9,6.06
04-Dec-1972,4.92,6.06
05-Dec-1972,5,6.31
06-Dec-1972,5,6.25
07-Dec-1972,5.03,6.13
08-Dec-1972,5.06,6.13
11-Dec-1972,5.1,6.06
12-Dec-1972,5.05,6.13
13-Dec-1972,5,5.94
14-Dec-1972,5.02,6
15-Dec-1972,5.07,6
18-Dec-1972,5.17,5.94
19-Dec-1972,5.19,5.94
20-Dec-1972,5.15,5.94
21-Dec-1972,5.12,6.13
22-Dec-1972,5.12,6.13
25-Dec-1972,5.12,6.13
26-Dec-1972,5.15,6.13
27-Dec-1972,5.11,6.06
28-Dec-1972,5.1,5.94
29-Dec-1972,5.14,5.81
01-Jan-1973,5.14,5.81
02-Jan-1973,5.22,5.81
03-Jan-1973,5.16,5.94
04-Jan-1973,5.12,5.81
05-Jan-1973,5.13,5.81
08-Jan-1973,5.13,6
09-Jan-1973,5.17,5.94
10-Jan-1973,5.19,5.88
11-Jan-1973,5.23,5.94
12-Jan-1973,5.24,6
15-Jan-1973,5.27,6.06
16-Jan-1973,5.36,6.19
17-Jan-1973,5.36,6.13
18-Jan-1973,5.46,6.13
19-Jan-1973,5.56,6.06
22-Jan-1973,5.59,6.13
23-Jan-1973,5.61,6.25
24-Jan-1973,5.67,6.19
25-Jan-1973,5.73,6.38
26-Jan-1973,5.74,6.44
29-Jan-1973,5.66,6.56
30-Jan-1973,5.69,6.81
31-Jan-1973,5.68,6.69
01-Feb-1973,5.76,6.75
02-Feb-1973,5.73,7
05-Feb-1973,5.69,6.94
06-Feb-1973,5.65,7.13
07-Feb-1973,5.57,6.88
08-Feb-1973,5.44,7
09-Feb-1973,5.44,7.38
12-Feb-1973,5.44,7.38
13-Feb-1973,5.5,7
14-Feb-1973,5.43,6.94
15-Feb-1973,5.37,7.25
16-Feb-1973,5.4,7.38
19-Feb-1973,5.4,7.38
20-Feb-1973,5.57,7.75
21-Feb-1973,5.62,7.81
22-Feb-1973,5.56,8
23-Feb-1973,5.55,8.38
26-Feb-1973,5.76,8.19
27-Feb-1973,5.9,8.08
28-Feb-1973,5.85,8.25
01-Mar-1973,5.79,9.25
02-Mar-1973,5.75,9.25
05-Mar-1973,5.79,8.86
06-Mar-1973,5.94,8.38
07-Mar-1973,5.87,8.31
08-Mar-1973,5.83,8.75
09-Mar-1973,5.84,8.88
12-Mar-1973,5.88,8.44
13-Mar-1973,6,8.13
14-Mar-1973,6.06,7.81
15-Mar-1973,6.11,8.25
16-Mar-1973,6.21,8.31
19-Mar-1973,6.22,8.13
20-Mar-1973,6.34,8.38
21-Mar-1973,6.35,8.25
22-Mar-1973,6.31,8.56
23-Mar-1973,6.31,8.56
26-Mar-1973,6.23,8.56
27-Mar-1973,6.26,8.69
28-Mar-1973,6.28,8.56
29-Mar-1973,6.29,8.63
30-Mar-1973,6.4,8.63
02-Apr-1973,6.46,8.56
03-Apr-1973,6.55,8.56
04-Apr-1973,6.51,8.5
05-Apr-1973,6.48,8.31
06-Apr-1973,6.25,8.19
09-Apr-1973,6.16,8
10-Apr-1973,6.21,8.06
11-Apr-1973,6.22,8
12-Apr-1973,6.2,8
13-Apr-1973,6.21,7.88
16-Apr-1973,6.19,7.81
17-Apr-1973,6.19,7.81
18-Apr-1973,6.11,8
19-Apr-1973,6.13,7.94
20-Apr-1973,6.13,7.94
23-Apr-1973,6.19,7.94
24-Apr-1973,6.28,8.06
25-Apr-1973,6.28,8.25
26-Apr-1973,6.2,8.31
27-Apr-1973,6.21,8.25
30-Apr-1973,6.23,8.25
01-May-1973,6.29,8.25
02-May-1973,6.26,8
03-May-1973,6.21,8.25
04-May-1973,6.19,8.13
07-May-1973,6.13,8.19
08-May-1973,6.02,8.31
09-May-1973,5.97,8.38
10-May-1973,6,8.38
11-May-1973,6.23,8.38
14-May-1973,6.17,8.44
15-May-1973,6.17,8.81
16-May-1973,6.19,8.56
17-May-1973,6.28,8.44
18-May-1973,6.3,8.5
21-May-1973,6.38,8.63
22-May-1973,6.6,8.63
23-May-1973,6.63,8.38
24-May-1973,6.55,8.69
25-May-1973,6.64,8.69
28-May-1973,6.64,8.69
29-May-1973,6.84,8.75
30-May-1973,6.91,8.44
31-May-1973,6.92,8.56
01-Jun-1973,6.97,8.69
04-Jun-1973,7.07,8.75
05-Jun-1973,7.13,8.88
06-Jun-1973,7.06,8.56
07-Jun-1973,7.08,8.69
08-Jun-1973,7,8.75
11-Jun-1973,7.08,8.75
12-Jun-1973,7.14,8.94
13-Jun-1973,7.16,8.63
14-Jun-1973,7.17,8.69
15-Jun-1973,7.18,8.75
18-Jun-1973,7.2,8.75
19-Jun-1973,7.27,8.94
20-Jun-1973,7.29,8.75
21-Jun-1973,7.24,8.75
22-Jun-1973,7.24,8.94
25-Jun-1973,7.2,9
26-Jun-1973,7.26,8.88
27-Jun-1973,7.28,9
28-Jun-1973,7.35,8.94
29-Jun-1973,7.52,9.06
02-Jul-1973,7.9,9.31
03-Jul-1973,7.98,9.5
04-Jul-1973,7.98,9.5
05-Jul-1973,7.95,9.75
06-Jul-1973,7.92,9.81
09-Jul-1973,7.92,9.94
10-Jul-1973,7.89,9.81
11-Jul-1973,7.68,9.5
12-Jul-1973,7.63,9.75
13-Jul-1973,7.78,9.75
16-Jul-1973,7.85,9.88
17-Jul-1973,7.96,10.25
18-Jul-1973,8.03,10.25
19-Jul-1973,8.13,10.63
20-Jul-1973,8.17,10.88
23-Jul-1973,8.03,11.31
24-Jul-1973,8.18,11.56
25-Jul-1973,8.17,11.06
26-Jul-1973,8.23,11.19
27-Jul-1973,8.25,11.56
30-Jul-1973,8.23,11.31
31-Jul-1973,8.32,11.38
01-Aug-1973,8.38,11.31
02-Aug-1973,8.28,11.44
03-Aug-1973,8.27,11.44
06-Aug-1973,8.32,11.5
07-Aug-1973,8.75,11.63
08-Aug-1973,8.77,11.5
09-Aug-1973,8.81,11.69
10-Aug-1973,8.84,11.56
13-Aug-1973,8.82,11.5
14-Aug-1973,9.05,11.44
15-Aug-1973,8.95,10.94
16-Aug-1973,8.86,11.06
17-Aug-1973,8.72,11.31
20-Aug-1973,8.79,11.5
21-Aug-1973,8.92,11.56
22-Aug-1973,8.78,11.13
23-Aug-1973,8.62,11.38
24-Aug-1973,8.46,11.5
27-Aug-1973,8.53,11.5
28-Aug-1973,8.72,11.63
29-Aug-1973,8.62,11.56
30-Aug-1973,8.57,11.56
31-Aug-1973,8.66,11.56
03-Sep-1973,8.66,11.5
04-Sep-1973,8.78,11.56
05-Sep-1973,8.76,11.56
06-Sep-1973,8.84,11.56
07-Sep-1973,8.8,11.44
10-Sep-1973,9.03,11.38
11-Sep-1973,9.04,11.44
12-Sep-1973,9.02,11.44
13-Sep-1973,8.86,11.44
14-Sep-1973,8.75,11.56
17-Sep-1973,8.7,11.44
18-Sep-1973,8.68,11.44
19-Sep-1973,8.55,11.25
20-Sep-1973,8.28,11.06
21-Sep-1973,7.69,11.06
24-Sep-1973,7.38,10.81
25-Sep-1973,7.2,10.5
26-Sep-1973,7.12,10.56
27-Sep-1973,6.96,10.31
28-Sep-1973,6.98,10.38
01-Oct-1973,7.06,10.31
02-Oct-1973,7.64,10.63
03-Oct-1973,7.48,10.25
04-Oct-1973,7.58,10.63
05-Oct-1973,7.36,10.69
08-Oct-1973,7.36,10.69
09-Oct-1973,7.13,11
10-Oct-1973,7.14,10.44
11-Oct-1973,7.15,10.25
12-Oct-1973,7.14,10.25
15-Oct-1973,7.19,9.75
16-Oct-1973,7.28,10.19
17-Oct-1973,7.19,9.75
18-Oct-1973,7.13,9.75
19-Oct-1973,7.03,9.75
22-Oct-1973,7.03,9.75
23-Oct-1973,7.04,9.63
24-Oct-1973,7.02,9.19
25-Oct-1973,7.05,9.5
26-Oct-1973,7.18,9.38
29-Oct-1973,7.2,9.13
30-Oct-1973,7.22,9.19
31-Oct-1973,7.36,9.13
01-Nov-1973,7.48,9.38
02-Nov-1973,7.66,9.38
05-Nov-1973,8,9.38
06-Nov-1973,8,9.5
07-Nov-1973,8.2,9.31
08-Nov-1973,8.12,9.5
09-Nov-1973,8.14,9.19
12-Nov-1973,8.51,9.5
13-Nov-1973,8.62,9.94
14-Nov-1973,8.3,9.75
15-Nov-1973,7.53,9.56
16-Nov-1973,7.61,9.75
19-Nov-1973,7.5,9.94
20-Nov-1973,7.77,9.94
21-Nov-1973,7.78,9.81
22-Nov-1973,7.78,10
23-Nov-1973,7.82,10
26-Nov-1973,7.76,10.38
27-Nov-1973,7.58,10.94
28-Nov-1973,7.52,10.81
29-Nov-1973,7.45,10.56
30-Nov-1973,7.3,10.38
03-Dec-1973,7.12,10.44
04-Dec-1973,7.25,10.63
05-Dec-1973,7.68,10.38
06-Dec-1973,7.64,10.63
07-Dec-1973,7.65,10.75
10-Dec-1973,7.44,10.94
11-Dec-1973,7.52,10.75
12-Dec-1973,7.48,10.5
13-Dec-1973,7.58,10.63
14-Dec-1973,7.53,10.44
17-Dec-1973,7.47,10.5
18-Dec-1973,7.34,10.5
19-Dec-1973,7.3,10.38
20-Dec-1973,7.31,10.56
21-Dec-1973,7.33,11
24-Dec-1973,7.33,10.88
25-Dec-1973,7.33,10.88
26-Dec-1973,7.57,10.88
27-Dec-1973,7.47,11.25
28-Dec-1973,7.47,11.25
31-Dec-1973,7.46,11.25
01-Jan-1974,7.46,11.25
02-Jan-1974,7.52,9.75
03-Jan-1974,7.47,9.63
04-Jan-1974,7.49,9.31
07-Jan-1974,7.6,9.31
08-Jan-1974,7.64,9.31
09-Jan-1974,7.67,9.31
10-Jan-1974,7.83,9.56
11-Jan-1974,7.87,9.56
14-Jan-1974,7.96,9.56
15-Jan-1974,7.89,9.63
16-Jan-1974,7.9,9.56
17-Jan-1974,7.86,9.63
18-Jan-1974,7.86,9.63
21-Jan-1974,7.97,9.56
22-Jan-1974,7.96,9.5
23-Jan-1974,8.01,9.13
24-Jan-1974,8.01,9.06
25-Jan-1974,7.98,9.19
28-Jan-1974,7.84,9.19
29-Jan-1974,7.62,9.25
30-Jan-1974,7.51,8.75
31-Jan-1974,7.48,8.75
01-Feb-1974,7.31,9
04-Feb-1974,7.13,8.94
05-Feb-1974,6.93,8.81
06-Feb-1974,6.93,8.44
07-Feb-1974,7.11,8.06
08-Feb-1974,7.04,8.44
11-Feb-1974,7.12,8.38
12-Feb-1974,7.12,8.5
13-Feb-1974,7.04,8.25
14-Feb-1974,7.03,8.38
15-Feb-1974,7.06,8.31
18-Feb-1974,7.06,8.25
19-Feb-1974,7.03,8.44
20-Feb-1974,7.04,8.44
21-Feb-1974,7.09,8.63
22-Feb-1974,7.1,8.44
25-Feb-1974,7.15,8.38
26-Feb-1974,7.3,8.56
27-Feb-1974,7.35,8.38
28-Feb-1974,7.46,8.56
01-Mar-1974,7.54,8.69
04-Mar-1974,7.56,8.56
05-Mar-1974,7.73,8.75
06-Mar-1974,7.71,8.75
07-Mar-1974,7.7,8.81
08-Mar-1974,7.84,8.69
11-Mar-1974,7.87,8.75
12-Mar-1974,7.83,8.75
13-Mar-1974,7.83,8.94
14-Mar-1974,7.72,8.94
15-Mar-1974,7.84,8.88
18-Mar-1974,7.95,9.75
19-Mar-1974,8.06,9.63
20-Mar-1974,8.1,9.31
21-Mar-1974,8.11,9.44
